  STATES      Coupling(eV)
  12   21     0.0004079149 
  12   22    -0.0101890500 
  12   23     0.0047754250 
  12   24     0.0554451100 
  12   25     0.0917548100 
  12   26     0.0068761780 
  12   27    -0.0167352600 
  12   28     0.0097734080 
  12   29    -0.0162789300 
  12   30    -0.0433950900 
  12   31    -0.0001046204 
  12   32    -0.0320355500 
  12   33     0.0775717700 
  12   34     0.0145466600 
  12   35     0.0061035520 
  12   36    -0.0034869660 
  12   37     0.0025809890 
  12   38    -0.1555614000 
  12   39     0.0463826100 
  12   40    -0.0066208140 
  13   14    -0.0009151041 
  13   15    -0.0012312700 
  13   16    -0.0020730470 
  13   17     0.0085718950 
  13   18     0.0435936400 
  13   19    -0.0320078100 
  13   20     0.0025436380 
  13   21    -0.0014971570 
  13   22     0.0102726000 
  13   23    -0.0393039300 
  13   24    -0.0129890000 
  13   25    -0.0495957300 
  13   26    -0.0001656916 
  13   27    -0.0237005600 
  13   28     0.0050358530 
  13   29    -0.0094446500 
  13   30    -0.0850020200 
  13   31     0.0072072050 
  13   32    -0.0607067400 
  13   33     0.0038297740 
  13   34    -0.0588151000 
  13   35     0.0360843600 
  13   36     0.0000859840 
  13   37     0.0020973250 
  13   38    -0.0700861300 
  13   39     0.1143633000 
  13   40     0.1364141000 
  14   15    -0.0049783210 
  14   16    -0.0035953900 
  14   17     0.0021085900 
  14   18    -0.0129116900 
  14   19     0.0527553000 
  14   20    -0.0008647468 
  14   21    -0.0052222420 
  14   22     0.0298252400 
  14   23    -0.0043263420 
  14   24    -0.0153490800 
  14   25    -0.0481314200 
  14   26     0.0133712900 
  14   27     0.0010789940 
  14   28     0.0005317369 
  14   29    -0.0100591900 
  14   30     0.0076438740 
  14   31     0.0001935601 
  14   32     0.0135985600 
  14   33    -0.0102861700 
  14   34    -0.0083058440 
  14   35     0.0108456800 
  14   36    -0.0033652000 
  14   37     0.0038208220 
  14   38     0.0146949300 
  14   39    -0.0293719400 
  14   40     0.0126622800 
  15   16     0.0038394970 
  15   17     0.0007862034 
  15   18    -0.0066747610 
  15   19     0.0264206900 
  15   20    -0.0136806600 
  15   21    -0.0393724200 
  15   22    -0.0072145330 
  15   23    -0.0021678370 
  15   24    -0.0077056860 
  15   25    -0.0154672700 
  15   26    -0.0134356800 
  15   27    -0.0006225715 
  15   28     0.1016129000 
  15   29     0.0039422710 
  15   30    -0.0004439892 
  15   31     0.0064808430 
  15   32     0.0072381910 
  15   33    -0.0067314510 
  15   34    -0.0039205290 
  15   35     0.0073459410 
  15   36     0.0024868880 
  15   37    -0.0137703100 
  15   38     0.0014889940 
  15   39     0.0007720817 
  15   40    -0.0008952580 
  16   17    -0.0000743749 
  16   18    -0.0049545900 
  16   19     0.0153752300 
  16   20    -0.0352982100 
  16   21     0.0052577710 
  16   22    -0.0023281360 
  16   23    -0.0000272377 
  16   24    -0.0032750720 
  16   25    -0.0093018820 
  16   26    -0.0199884200 
  16   27     0.0016534890 
  16   28    -0.0057723800 
  16   29     0.0025745120 
  16   30    -0.0005078470 
  16   31    -0.0082467230 
  16   32     0.0016468850 
  16   33    -0.0040694900 
  16   34    -0.0014808510 
  16   35     0.0045755870 
  16   36     0.0007528197 
  16   37    -0.0071671270 
  16   38     0.0009078992 
  16   39    -0.0026960420 
  16   40     0.0008063478 
  17   18    -0.0010478090 
  17   19    -0.0079440250 
  17   20     0.0064848860 
  17   21     0.0000276282 
  17   22     0.0043224120 
  17   23     0.0440706300 
  17   24    -0.0486328900 
  17   25    -0.0018754940 
  17   26    -0.0009201370 
  17   27     0.0861046600 
  17   28     0.0002510250 
  17   29     0.0018011680 
  17   30     0.1214105000 
  17   31    -0.0074828360 
  17   32    -0.0136773400 
  17   33     0.0290119300 
  17   34     0.1652932000 
  17   35    -0.1750716000 
  17   36     0.0070327520 
  17   37     0.0056678350 
  17   38    -0.0154805600 
  17   39     0.0340533300 
  17   40     0.0255753700 
  18   19     0.0089327030 
  18   20     0.0009323908 
  18   21    -0.0001635023 
  18   22     0.0057141900 
  18   23     0.0021061160 
  18   24     0.0241243600 
  18   25     0.0017836590 
  18   26     0.0012935760 
  18   27    -0.0145003100 
  18   28    -0.0005816071 
  18   29     0.0076800130 
  18   30     0.0402217500 
  18   31     0.0038577230 
  18   32    -0.0467283100 
  18   33    -0.0074350390 
  18   34    -0.0364068300 
  18   35    -0.0565853300 
  18   36     0.0039523190 
  18   37    -0.0069273900 
  18   38    -0.0021038790 
  18   39    -0.0657017100 
  18   40     0.0844185200 
  19   20     0.0005666615 
  19   21     0.0000123578 
  19   22     0.0070231200 
  19   23    -0.0083630990 
  19   24    -0.0054869110 
  19   25    -0.0268948700 
  19   26    -0.0009314643 
  19   27    -0.0046214600 
  19   28     0.0005214131 
  19   29    -0.0027835410 
  19   30    -0.0003089782 
  19   31    -0.0008401611 
  19   32     0.0203404100 
  19   33    -0.0260820200 
  19   34    -0.0226876300 
  19   35     0.0230835100 
  19   36    -0.0081975220 
  19   37    -0.0008106132 
  19   38    -0.0204209300 
  19   39    -0.0160082700 
  19   40     0.0058728980 
  20   21    -0.0046350170 
  20   22     0.0028285050 
  20   23     0.0063562040 
  20   24    -0.0022117770 
  20   25    -0.0020942160 
  20   26    -0.0036403340 
  20   27     0.0069787730 
  20   28     0.0067370860 
  20   29     0.0028196760 
  20   30     0.0076284030 
  20   31     0.0018294930 
  20   32    -0.0012258130 
  20   33     0.0003488128 
  20   34     0.0013397570 
  20   35     0.0045503670 
  20   36     0.0028000020 
  20   37    -0.0052718930 
  20   38     0.0019278020 
  20   39    -0.0000321242 
  20   40     0.0024858330 
  21   22     0.0012131220 
  21   23    -0.0005044006 
  21   24     0.0003966174 
  21   25    -0.0018762560 
  21   26     0.0049991970 
  21   27    -0.0008882206 
  21   28     0.0745903700 
  21   29    -0.0023647040 
  21   30    -0.0002083861 
  21   31    -0.0058161130 
  21   32     0.0007228012 
  21   33    -0.0016096600 
  21   34     0.0000385149 
  21   35    -0.0010192530 
  21   36     0.0018027270 
  21   37    -0.0010353210 
  21   38     0.0000626490 
  21   39     0.0021441110 
  21   40    -0.0006235996 
  22   23    -0.0002993193 
  22   24     0.0001712353 
  22   25     0.0009462300 
  22   26    -0.0027168550 
  22   27     0.0053394880 
  22   28     0.0072727150 
  22   29     0.0813039900 
  22   30     0.0009373542 
  22   31    -0.0103178800 
  22   32     0.0078509650 
  22   33     0.0046577620 
  22   34     0.0127371500 
  22   35     0.0019607570 
  22   36    -0.0025763440 
  22   37     0.0117486600 
  22   38     0.0075031080 
  22   39     0.0001760603 
  22   40     0.0081462730 
  23   24    -0.0048922300 
  23   25    -0.0204596900 
  23   26     0.0017699850 
  23   27     0.0289184100 
  23   28    -0.0024205050 
  23   29     0.0026487300 
  23   30     0.0540900900 
  23   31     0.0164475800 
  23   32    -0.0284704200 
  23   33    -0.0246663700 
  23   34    -0.0119004800 
  23   35     0.0076917120 
  23   36    -0.0083062630 
  23   37    -0.0082128820 
  23   38    -0.1610001000 
  23   39     0.0972422100 
  23   40    -0.0365798400 
  24   25    -0.0060277260 
  24   26     0.0007966103 
  24   27     0.0539975100 
  24   28     0.0112890900 
  24   29    -0.0191098400 
  24   30     0.0709317700 
  24   31     0.0221908600 
  24   32    -0.0876450000 
  24   33    -0.0045775470 
  24   34    -0.0888408900 
  24   35    -0.1139593000 
  24   36     0.0028138500 
  24   37    -0.0003913669 
  24   38     0.0434903000 
  24   39     0.0197745200 
  24   40     0.0201113500 
  25   26    -0.0010192460 
  25   27     0.0327744400 
  25   28     0.0019311320 
  25   29    -0.0008285550 
